nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Golden Jade Kitchen,Jl. Boulevard Gading No. 15B,PT. Cahaya Permata Murni,Sung Sau Chun,Jakarta Utara,021 45853618,021 45853968,Restoran,30/100/A
Golden Leaf,"Plaza Kelapa Gading, Jl. Raya Boulevard Barat",CV.Tri Boga Lestari,Simon Teh,Jakarta Utara,,,Restoran,14/50/B
Grab & Go,Ancol Beach City G - 25,PT. Grand Putra Abadi,Chandra Aliwarga,Jakarta Utara,,,Restoran,15/50/B
Grand Prince,"Amanyaak Loft of Ploeit, Jl. Pluit Timur Blok L Bar",PT. Pangran Amboja,Zheng Li Qiang,Jakarta Utara,,,Restoran,30/300/A
Grandma's Suki,"Jl. Kelapa Gading Boulevard Raya Blok LB3 No. 1-2, Kelapa Gading",PT. Grandma Food International,Zuhari Lowis,Jakarta Utara,,,Restoran,28/150/A
Green Kitchen,Jl. Muara Karang Blok B.8T No. 84-85,,Wiwie Soetiono,Jakarta Utara,,,Restoran,25/100/A
Haagen Dazs,"Jl. Pluit Selatan Raya, Penjaringan",HAAGEN DAZS,Widhi Darmawan,Jakarta Utara,,,Restoran,10/40/B
Hailam Kopitiam,Jl. Kelapa Gading Boulevard QA-3 Kav. No. 21,PT. Karunia Bersama Cemerlang,Jusuf Angling Darma,Jakarta Utara,,,Restoran,15/50/B
Hanamasa,"Mall Mangga Dua Square, Jl. Gunung Sahari Raya No. 1, Pademangan",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Utara,021 62311519,021 62311520,Restoran,12/50/B
Hanamasa,"Mall Artha Gading, Jl. Boulevard Artha Gading Selatan No. 1",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Utara,021 45864556,021 45864557,Restoran,18/72/B
Hanamasa,"Pluit Village, Jl. Pluit Indah Raya, Pluit, Penjaringan",PT. Adi Boga Cipta,Rachmatullah,Jakarta Utara,021 6670765,021 6670765,Restoran,22/100/A
Hanamasa Yakiniku,"Sport Mal Kelapa Gading, Jl. Raya Kelapa Nias Blok HF 3, Kelapa Gading",PT. Adi Boga Cipta,"Rachmatullah, SE",Jakarta Utara,021 28507530,021 8294341,Restoran,22/106/A
Hang Gang,"Baywalk Mall Lt. 1 Unit 7, Jl. Pluit Karang Ayu B1",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Utara,,,Restoran,10/40/B
Hangover,"Bukit Golf Mediterania Rukan Cordoba Blok E-16, Jl. Marina Indah Raya, Pantai Indah Kapuk",PT. Hangover Indonesia,Sastra Siaputra,Jakarta Utara,,,Restoran,15/70/A
Hanok,Rukan Crown Golf BGM PIK Blok A/031 RT003,PT. Aneka Cipta Makanan Indonesia,Yono Hadianto,Jakarta Utara,,,Restoran,16/45/B
Happy,Jl. Muara Karang Blok Z 4u/15-17,PT. Happy Muara Karang,Agus Sumarli,Jakarta Utara,021 6603030,021 6697703,Restoran,16/60/A
Happy,Jl. Muara Karang Blok Z 4u/15-17,PT. Happy Muara Karang,Agus Sumarli,Jakarta Utara,021 6603030,021 6697703,Restoran,16/60/A
Happy Family ( Family Ria ),Jl. Sunter Agung Utara Blok M No. 37,-,Bong Djan Bie,Jakarta Utara,021 6502357,021 6502357,Restoran,14/50/B
Happy Kitchen,Jl. Boulevard Kelapa Gading Blok M,PT. Wahana Jaya Cemerlang,Tri Apridianto,Jakarta Utara,021 70721768,021 70463258,Restoran,20/80/A
Happy Puppy,"Mal Kelapa Gading LA Piazza Unit II, Jl. Boulevard Kelapa Gading",PT. Mitra Sakti Intiperkasa,Melinna Aprilia,Jakarta Utara,021 45864933,021 45864935,Restoran,20/80/A
Happy Puppy,Jl. Boulevard Raya LB III No. 27,PT. Imperium Happy Puppy,Santoso Setyadi,Jakarta Utara,021 45858044,021 45858044,Restoran,10/50/B
Happy Puppy,"Mal Kelapa Gading LA Piazza Unit II, Jl. Boulevard Kelapa Gading",PT. Mitra Sakti Intiperkasa,Melinna Aprilia,Jakarta Utara,021 45864933,021 45864935,Restoran,20/80/A
Happy Puppy,"Metro Broadway, Jl. Pantai Indah Utara II Blok.A",PT. Duta Swara Dharma,Tjan Daniel Tjandra,Jakarta Utara,021 30010280,,Restoran,20/60/A
Hawai,Jl. Danau Sunter Utara Blok M No. 28,,Sukardi Halim,Jakarta Utara,021 6505171,,Restoran,20/100/A
Hawai Vegetarian Food,Jl. Muara Karang Blok 08 Timur No. 57-58,PT. Hawai Vegetarian Food,Reagen,Jakarta Utara,021 6628081,,Restoran,20/80/A
Hawai Vegetarian Food,Jl. Muara Karang Blok 08 Timur No. 57-58,PT. Hawai Vegetarian Food,Reagen,Jakarta Utara,021 6628081,,Restoran,20/80/A
Hay Thien,"Jl. Boulevard Raya FV.I/33, Kelapa Gading",Nasiwen,Nasiwen,Jakarta Utara,021 6592573,021 6592573,Restoran,10/50/B
Hay Thien,Jl. Muara Karang Raya Blok 8 T/95,-,Dharmadi Samsudin,Jakarta Utara,,,Restoran,8/32/B
Healthy Choice,Jl. Boulevard Raya Blok WB II No. 21-22,PT. Indospirit Natura,Stevan Lie,Jakarta Utara,,,Restoran,20/50/B
Hoka Hoka Bento,Jl. Muara Karang Raya Blok A8U No. 65,PT. Eka Boga Inti,Hendra Arifin,Jakarta Utara,,,Restoran,10/40/B
Hokben,Jl. Muara Karang Raya Blok A8U No. 65,PT. Eka Boga Inti,Hendra Arifin,Jakarta Utara,021 42877717,021 42877717,Restoran,10/40/B
Hokben,"Mega Mall Pluit Lt. 4, Jl. Pluit Indah Raya Permai",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,021 6683910,021 6683911,Restoran,33/126/A
Hokben,Jl. Arteri Mangga Dua Pasar Pagi,PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,021 6016192,021 6016205,Restoran,38/66/A
Hokben,"Mal Artha Gading, Jl. Sentra Artha Gading B-I/9-1",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,,,Restoran,43/78/A
Hokben,Jl. Boulevard Raya Blok WE-2/1G,PT.Eka Boga Inti,Hendra Arifin,Jakarta Utara,,,Restoran,10/40/B
Hokben,Jl. Danau Sunter Utara A/2,PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,021 4529788,021 4529788,Restoran,15/50/B
Hokben,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,021 4529777,021 4529788,Restoran,15/60/A
Hokkaido Fish Market,Jl. Muara Karang Raya Blok D7 Utara Kav. 6-7,PT. Rustoyusu Manhattan Internasion,Benny Tanadi,Jakarta Utara,021 63850167,,Restoran,20/80/A
Hokuo,Jl. Raya Kelapa Hibrida Blok PE-10 Kav. No. 1A,PT. Agrapana Boga Indonesia,Andreas Alam Sebastian,Jakarta Utara,021 45868465,021 45868465,Restoran,13/52/A
Hollywood,"Bukit Gading Indah, Jl. Bukit Gading Raya/L. 28-2",PT. Pertama Inti Power,Santra,Jakarta Utara,,,Restoran,13/52/A
Honeymoon Dessert Emporium,"Jl. Pluit Selatan Raya, Penjaringan",,Iskandar,Jakarta Utara,021 66676272,021 66676271,Restoran,10/40/B
Hops & Malt,Jl. Pantai Indah Kapuk Boulevard UB-RGB No. 01,PT. Kertajaya Mulia,Kenny Handra,Jakarta Utara,,,Restoran,14/50/B
Hops & Malt,Jl. Pantai Indah Kapuk Boulevard UB-RGB No. 01,PT. Kertajaya Mulia,Kenny Handra,Jakarta Utara,,,Restoran,14/50/B
Hot Station,Jl. Muara Karang Blok Z.4.U,PT.Indo Bistro Istimewa,Tjhia Very Gunawan,Jakarta Utara,,,Restoran,10/50/B
Hotshots Burger,Jl. Boulevard  Kelapa Gading,PT. Triandra Rasa Investama,Drs. Joeliardi Sunendar,Jakarta Utara,021 45864946,,Restoran,25/100/A
Hottencole,"Bukit Golf Mediterania, Jl. Pantai Indah Barat No. 1, Kamal Muara, Penjaringan, Pantai Indah Kapuk",PT. Terus Maju Sekawan,Felix Tenggara Wikarta,Jakarta Utara,,,Restoran,15/50/B
Hottencole,"Bukit Golf Mediterania, Jl. Pantai Indah Barat No. 1, Kamal Muara, Penjaringan, Pantai Indah Kapuk",PT. Terus Maju Sekawan,Felix Tenggara Wikarta,Jakarta Utara,,,Restoran,15/50/B
House Of Pasta,Jl. Boulevard Raya H4 No. 8,Novenia Setiawan,Novenia Setiawan,Jakarta Utara,,,Restoran,10/50/B
Hungry Hiro,Pantai Indah Barat Ruko Crown Golf Blok B/32A,PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Utara,,,Restoran,8/32/B
Hungry Hiro,Pantai Indah Barat Ruko Crown Golf Blok B/32A,PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Utara,,,Restoran,8/32/B
Hungry Town,Jl. Lodan Timur No. 7,PT. Popindo Selera Prima,Benny Hadisurjo,Jakarta Utara,,,Restoran,10/40/B
Hwang Geum Bab Sang,Jl. Gading Batavia LC 11 No. 5 RT013/RW007,PT. Sin Na Mie,Kim Jang Young,Jakarta Utara,021 45853402,021 27927936,Restoran,15/60/A
Hwang Geum Bab Sang,Jl. Gading Batavia LC 11 No. 5 RT013/RW007,PT. Sin Na Mie,Kim Jang Young,Jakarta Utara,021 45853402,,Restoran,15/60/A
I - Ta Suki,"Mall Pluit Junction, Jl. Pluit Raya No. 1",PT. Damai Berkat Bersaudara,Simon Nurgiri Simansjah,Jakarta Utara,021 6615382,021 66601633,Restoran,10/40/B
Ibiza - Chamomile,Jl. Pluit Raya No. 1 RT021/RW006,PT. Multi Wahana Utama,Hartono,Jakarta Utara,021 70709525,021 70709525,Restoran,4/26/B
Ichiban Sushi,"Mall Of Indonesia, Jl. Raya Boulevard Barat, Kelapa Gading",PT.Gading Food Investama,Ossan Donny Widjaja,Jakarta Utara,,,Restoran,12/45/B
Ichiban Sushi,Jl. Boulevard Kelapa Gading,PT.Brostindo Prima Indonesia,Bernt Han Lee Ramli,Jakarta Utara,,,Restoran,10/40/B
Ichiban Sushi,"Kelapa Gading Mall, Jl. Boulevard Kelapa Gading",PT. Brostindo Prima Indonesia,Bernt Han Lee Ramli,Jakarta Utara,,,Restoran,12/50/B
Ichibiru,"Food Centrum Sunter Unit GF-07, Jl. Griya Utama Blok A No. 67-68, Tanjung Priok",PT. Ohana Kreatif Eterna,Eric Edisanto,Jakarta Utara,021 65310327,021 65310327,Restoran,15/60/A
Ikan Goreng Cianjur,Jl. Boulevard Raya Blok QA-3/19-20,PT. Mitra Cipta Rasa,Dormiana Herawati,Jakarta Utara,,,Restoran,10/20/C
Ikan Tude Manado,Jl. Kelapa Gading Boulevard Blok TA-2 No. 31-32,Jhony Rempas,Jhony Rempas,Jakarta Utara,021 4526561,,Restoran,29/116/A
Ikana Ikana,Jl. Pantai Indah Selatan I No. 30,PT. Anugrah Sari Sekawan,Lie Wie Phin,Jakarta Utara,,,Restoran,20/60/A
Ikana Ikana,Jl. Pantai Indah Selatan I No. 30,PT. Anugrah Sari Sekawan,Lie Wie Phin,Jakarta Utara,,,Restoran,20/60/A
Ikapu,Jl. Danau Sunter Utara No. 6,PT. Sinar Mas Jaya,Tjung Tje Fung,Jakarta Utara,,,Restoran,10/40
Ikkousha,Jl. Kelapa Gading Boulevard Blok W.A.2-19/20,PT. Rumah Bahagia Pertama,Sumitro,Jakarta Utara,,,Restoran,12/50/B
Ikkousha,Jl. Pluit Karang No. 85 Blok A-8 Kav. No. 4,PT. Rumah Bahagia Pertama,Masaaki Oishi,Jakarta Utara,,,Restoran,14/50/B
Ikkousha,"Pantai Indah Kapuk Rukan Garden House Blok A, Jl. Raya Pantai Indah Kapuk",PT. Rumah Bahagia Pertama,Sumitro,Jakarta Utara,,,Restoran,10/50/B
Ikkousha,Jl. Pluit Karang No. 85 Blok A-8 Kav. No. 4,PT. Rumah Bahagia Pertama,Masaaki Oishi,Jakarta Utara,021 66600255,,Restoran,14/50/B
Ikkudo - Ichi,Rukan Crown Golf Blok D No. 2-3,PT. Enak Tau Indonesia,Irene Tjahyadi,Jakarta Utara,,,Restoran,10/50/B
Ikkudo Ichi,Jl. Boulevard Raya Blok L6,PT. Mie Gading Boulevard,Irene Tjahyadi,Jakarta Utara,,,Restoran,10/50/B
Ikkudo Ichi,"Sunter Icon, Jl. Griya Sejahtera No. 1",PT. Mie Sunter Sejahtera,Irene Tjahyadi,Jakarta Utara,,,Restoran,15/50/B
Ilha Formosa,"Rukan Cordoba Blok G No. 1, Bukit Golf Mediterania, Jl. Raya Pantai Marina Indah",PT. Mega Mama,Olivia Sorman,Jakarta Utara,021 56983530,021 56983530,Restoran,15/49/B
Imperial Chef,"Emporium Pluit Mall, Jl. Pluit Selatan Raya Unit 3",PT. Selera Sejahtera Makmur,Ibin Bachtiar,Jakarta Utara,021 5320825,021 5320824,Restoran,40/160/A
Imperial Duck,Jl. Gunung Sahari Raya,,Kurniawati Dewi S,Jakarta Utara,021 62313330,,Restoran,8/40/B
Imperial Wok,Jl. Rukan Gold Coast A No. 15-16,PT.Food Topia,Roni Ang,Jakarta Utara,,,Restoran,12/50/B
Ing Suki,Jl. Telok Gong Raya No. 7 RT002/RW009,,Boe Sian In,Jakarta Utara,021 6611839,021 6696040,Restoran,30/200/A
Inkopal,Jl. Boulevard Barat No. 1 Lt.3,Induk Koperasi TNI Angkatan Laut,"Mochamad Noor, SE",Jakarta Utara,,,Restoran,10/20/B
Inul Vizta,Jl. Boulevard Barat Raya,PT. Suka Nada Indah,Paulina Wahyuasih Indrawati,Jakarta Utara,021 45844321,021 4526535,Restoran,12/50/B
Inul Vizta,"Pluit Junction Lt. 5, Jl. Pluit Raya No. 1",PT. Pratama Sukses Gemilang,Kim Sung Ku,Jakarta Utara,021 70747429,021 70747429,Restoran,10/48/B
Inul Vizta,"Ruko Puri Mutiara Gading Utama Blok C No. 22-23, Sunter",CV. Maju Sukses Bersama,Linda Husein,Jakarta Utara,021 65318518,021 65318520,Restoran,10/40/B
Ipot Suki,Jl. Danau Sunter Utara Blok M Kav. No. 1,PT. Nano Boga Rasa,Marcel Nugroho,Jakarta Utara,,,Restoran,12/45/B
Ipot Suki,Rukan Crown Golf Standart Blok D No. 51-52-52,PT. Nano Boga Rasa,Marcel Nugroho,Jakarta Utara,021 60712618,021 60712618,Restoran,14/50/B
Ippeke Komachi,"Mal Kelapa Gading 3, Jl. Boulevard Kelapa Gading ",PT.Kilimanjaro Abadi,Muslikhatun,Jakarta Utara,,,Restoran,12/50/B
Iton,Jl. Pluit Karang Timur Blok B VIII Timur/115,PT. Iton Food Indonesia,Arifin Rusli,Jakarta Utara,,,Restoran,20/80/A
Jang Teoh,Gading Batavia Blok LC 10 No. 09,PT. Inkor Jaya Utama,Joko Susilo,Jakarta Utara,021 4585430,021 4585430,Restoran,8/35/B
Jang Teoh,Gading Batavia Blok LC 10 No. 09,PT. Inkor Jaya Utama,Joko Susilo,Jakarta Utara,021 4585430,021 4585430,Restoran,8/35/B
Jemahdi Seafood,"PIK Blok D No. 59-61, Rukan Crown Golf Standar",PT. Serasi Mitra Sukses,Hendri,Jakarta Utara,,,Restoran,7/28/B
Jia Wei Restaurant,"Mangga Dua Square, Jl. Gunung Sahari Raya No. 1, Pademangan Barat",,Kurniawati Dewi S,Jakarta Utara,,,Restoran,20/40/B
Jimbaran,"Taman Impian Jaya Ancol, Jl. Lodan Timur No. 7",PT. Jimbaran Jaya,I Nyoman Suarjana,Jakarta Utara,021 8615784,021 8615784,Restoran,20/80/A
Joy Café,Jl. Raya Gading Batavia Blok LC No. 18,-,Rudy Djaja,Jakarta Utara,021 45854326,021 45854303,Restoran,10/40/B
Joy Café,Jl. Raya Gading Batavia Blok LC No. 18,,Rudy Djaja,Jakarta Utara,021 45854326,021 45854303,Restoran,10/40/B
Jun Njan,"Kelapa Gading Square Mall of Indonesia, Jl. Raya Boulevard Barat, Kelapa Gading",PT.Sedap Buat Kemakmuran,Bobby Chandra,Jakarta Utara,,,Restoran,20/80/A
J-Wine,"SOGO, Jl. Kelapa Gading Bouleverd Blok M",PT. Mitra Putera Indonesia,Adji Aftab Rajramdhani,Jakarta Utara,021 45858044,021 45858044,Restoran,10/40/B
J-Wine,Jl. Kelapa Gading Bouleverd Blok M,PT. Mitra Putera Indonesia,Adji Aftab Rajramdhani,Jakarta Utara,,,Restoran,10/40/B
Kafe Betawi,Jl. Boulevard Barat Raya No. 1,PT. Citra Rasa Betawi,Johannes Peddy Wongsowidjojo,Jakarta Utara,021 7501125,021 7501125,Restoran,15/50/B
Kafe Betawi,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading",PT. Citra Rasa Betawi,Johannes Peddy Wongsowidjojo,Jakarta Utara,021 7501125,,Restoran,15/50/B
Kafe Betawi,"Kawasan CBD Emporium, Jl. Pluit Selatan Raya",PT. Citra Rasa Betawi,Johannes Peddy Wongsowidjojo,Jakarta Utara,021 7500382,021 7501125,Restoran,15/50/B
Kafe Betawi,"Pluit Village, Jl. Pluit Indah No. F32",PT. Citra Rasa Betawi,Johannes Peddy W,Jakarta Utara,,,Restoran,20/50/B
Kamtag Chicken,"Komp. New Rukan Batavia Blok LC 11/23, Jl. Raya Gading Batavia, Kelapa Gading",PT. Kamtag Chicken Indonesia,Jajang Deny Arisandi,Jakarta Utara,021 45845836,021 45845837,Restoran,14/82/A
Kamtag Chicken,Jl. Raya Gading Batavia,PT. Kamtag Chicken Indonesia,Jajang Deny Arisandi,Jakarta Utara,021 45845836,021 45845837,Restoran,14/82/A
Kemangi,Jl. Boulevard Raya Blok FV 1/33,Nasiwen,Nasiwen,Jakarta Utara,021 45841685,021 45841682,Restoran,15/40/B
Kembang Tandjoeng,"Mall Of Indonesia, Jl. Raya Boulevard Barat Lt.1 ",R.Hadiyanto Pokolemo,R.Hadiyanto Pokolemo,Jakarta Utara,021 45867908,,Restoran,10/40/B
Kenny Rogers Roasters,Jl. Boulevard Barat Raya No. 1,PT.Boga Lestari Sentosa,Budi Purnama Utomo,Jakarta Utara,,,Restoran,14/50/B
Kentucky Fried Chicken,"Mega Mall Pluit, Taman Tirtaloka, Jl. Pluit Indah Raya",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 6684077,021 6684077,Restoran,20/80/A
Kentucky Fried Chicken,"Mal Kelapa Gading, Jl. Boulevard Blok M",PT. Fastfood Indonesia.Tbk,Rudy Tanudjaya Saputra,Jakarta Utara,021 4531305,021 4531305,Restoran,10/40/B
Kentucky Fried Chicken,"Mall Of Indonesia, Jl. Boulevard Barat Raya",PT. Fast food Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 8301133,021 8301133,Restoran,15/50/B
Kentucky Fried Chicken,Jl. Raya Mangga Dua JITC,PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 8301133,,Restoran,40/160/A
Kentucky Fried Chicken,"Mal Sunter, Jl. Danau Sunter Utara Blok G.7.11/7",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 65833590,021 65833590,Restoran,30/78/A
Kentucky Fried Chicken,"Jl. Boulevard Raya Blok DF-12, Ruko Kelapa Gading",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,,,Restoran,10/40/B
Kentucky Fried Chicken,"Emporium Pluit Mall, Jl. Pluit Selatan Raya, Penjaringan",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 8301133,021 8301133,Restoran,15/50/B
Kentucky Fried Chicken,"Metro Brodway Pantai Indah Kapuk, Jl. Pantai Indah Utara 2, Pantai Indah Kapuk",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 8301133,021 8301133,Restoran,48/96/A
Kentucky Fried Chicken,Jl. Kramat Raya RT005/RW013,PT. Fastfood Indonesia,Rudy Tanudjaya S,Jakarta Utara,,,Restoran,36/72/A
Kentucky Fried Chicken,Jl. Teluk Gong Raya,PT. Fast Food Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,,,Restoran,15/50/B
Kentucky Fried Chicken,"Ruko Kelapa Gading, Jl. Boulevard Raya Blok DF",PT. Fastfood Indonesia,Rudy Tanudjaya Saputra,Jakarta Utara,021 4530066,,Restoran,10/40/B
Kimchi Grandma,Marina Indah Ruko Crown Golf D No. 6-7,PT. Multi Pangan Pratama,Octavianus,Jakarta Utara,,,Restoran,15/50/B
King Chef,Jl. Boulevard Barat Raya No. 1,,Eddy Halim,Jakarta Utara,,,Restoran,10/40/B
King Chef,"Mangga Dua Square Lt.GF Blok A No.281, Jl. Gunung Sahari Raya No. 1, Pademangan Barat",,Suhartini,Jakarta Utara,,,Restoran,15/50/B
King's Palace,Jl. Boulevard Barat Raya Blok LC.6 No. 58-59,PT. Kings Palace,Betty Widodo,Jakarta Utara,021 4522290,021 4515810,Restoran,20/80/A
King's Palace,Jl. Pantai Indah Utara 2 PIK D1-D2,PT.Citra Metro Kencana,Sylvia Liemonta,Jakarta Utara,,,Restoran,12/50/B
Kiyadon Sushi,"Emporium Pluit Mall, Jl. Pluit Selatan Raya Lt. G",PT. Jaya Indonippon Abadi,Ramon Benyamin Liando,Jakarta Utara,,,Restoran,20/50/A
Kweetiauw Kerang Singapur,Jl. Raya Pluit Selatan No. 61,Yuli Rahayu,Yuli Rahayu,Jakarta Utara,021 6603729,021 6603729,Restoran,20/80/A
Kyo-Dai Ramen,Jl. Kelapa Gading Boulevard Blok LA4 Kav.8,PT. Arana Tripasti,Henry Lore Suara Ajah,Jakarta Utara,021 4500509,,Restoran,15/50/B
Kyo-Dai Ramen,Jl. Kelapa Gading Boulevard Blok LA4 Kav.8,PT. Arana Tripasti,Henry Lore Suara Ajah,Jakarta Utara,021 4500509,,Restoran,15/50/B
La Piazza Gading Food City,Jl. Raya Mandiri Tengah Blok M3,PT. Summarecon Agung,Johanes Mardjuki,Jakarta Utara,021 4532412,021 4524699,Restoran,30/80/A
Lalapan Hidangan Sunda,Jl. Lodan Raya No.103,Sarwono Nursalim,Sarwono Nursalim,Jakarta Utara,021 6917268,021 6917268,Restoran,20/80/A
Le Mint,Jl. Sunter Garden Blok D-8 No.11N-11M,PT. Hadi Subrata Sejahtera,Shankar Sadarangani,Jakarta Utara,,,Restoran,16/56/A
Le Shan Lou,Jl. Pluit Karang Cantik No.70-70A Blok I.3.T K,PT. Brahma Boga Kencana,Johan Sutadi Tandanu,Jakarta Utara,021 6619923,021 6619923,Restoran,15/86/A
Little Baghdad,Jl. Raya Gading Batavia Blok LC.8,PT.Little Baghdad Internusa,Ir.Heru Poerwoko,Jakarta Utara,021 45854344,021 45854344,Restoran,6/20/C
Little Penang,"Mega Mall Pluit, Jl. Pluit Permai Raya, Pluit",PT. Panca Mitrasari Lestari,Bernt Hanlee Ramli,Jakarta Utara,021 66601511,021 66601511,Restoran,20/70/A
Lollipop,"Mall Of Indonesia, Jl. Boulevard Barat Raya Kelapa Gading",PT. Prima Nada Abadi,Erwin Budiputra,Jakarta Utara,021 45870161,021 45867882,Restoran,10/40/B
Lollypop' S Playland & Café,"Jl. Boulevard Kelapa Gading Blok M, Kelapa Gading",PT. Lollipop Interasia,Tonie Hartono Kadi,Jakarta Utara,021 45855060,021 45853963,Restoran,5/20/B
London Café,Jl. Raya Cilincing No. 9,,H. Tjetje,Jakarta Utara,,,Restoran,7/28/B
Long Beach,"Jl. Marina Raya, Bukit Golf Mediterania PIK",PT. Elang Maju,Budiono,Jakarta Utara,,,Restoran,12/48/B
Lotteria,"Lotte Mart Kelapa Gading, Jl. Raya Boulevard Barat, Kelapa Gading",PT. Lotteria Indonesia,Lee Haekwan,Jakarta Utara,021 7214000,021 7214372,Restoran,29/116/A
Lotteria,"Lotte Mart Kelapa Gading, Jl. Raya Boulevard Barat, Kelapa Gading",PT. Lotteria Indonesia,Lee Haekwan,Jakarta Utara,021 7214000,021 7214372,Restoran,29/116/A
Loykee Best Chicken Rice,Jl. Boulevard Kelapa Gading Blok M,PT.Alliance Investment Group,Edy Santoso,Jakarta Utara,021 45865013,021 45865014,Restoran,31/127/A
Macau Supreme,Jl. Kelapa Gading Boulevard Blok PD-9 No. 12A,Mario Saputra Tjahjono,Mario Saputra Tjahjono,Jakarta Utara,,,Restoran,21/84/A
Mame,Jl. Pluit No. 1,PT.Felice Cuisine,Tony Franto,Jakarta Utara,,,Restoran,20/80/A
Manimga,Jl. Boulevard Barat Raya Blok LC No. 33,PT. Yoo Rim Star,Noh Kee,Jakarta Utara,,,Restoran,18/72/A
Marugame Udon,"Mall Artha Gading 1F/A2/008,009,010,011,030",PT. Sriboga Marugame Indonesia,Budi Setiawan,Jakarta Utara,,,Restoran,10/50/B
Marugame Udon & Tempura,"Baywalk Mall Shop Unit #2-07&08, Jl. Pluit Karang Ayu B1 Utara, Pluit",PT. Sriboga Marugame Indonesia,Budi Setiawan,Jakarta Utara,021 66676688,021 66676728,Restoran,12/48/B
Master Wok,"Mal Kelapa Gading 3 Lt. 3 Unit FCI-08, Sentra Kelapa Gading",PT. Boga Makmur Wijaya,Kusnadi Rahardja,Jakarta Utara,,,Restoran,10/30/B
Matsuzaka Japanese Steak,Marina Raya Rukan Cordoba Blok E No. 6,PT. Duta Wina Arafah,HO. Felicia Chaidir,Jakarta Utara,,,Restoran,10/50/B
May Star,"Emporium Pluit Mall, Jl. Pluit Selatan Raya, Penjaringan",PT. Bintang Lima Sejahtera,Chin Loo Lin,Jakarta Utara,021 6011520,021 6011520,Restoran,50/200/A
May Star Corner,Jl. Pluit Selatan Raya Lt.4 No. 4,PT. Station Sejahtera,Halim Juhanim,Jakarta Utara,021 6666840,,Restoran,10/20/C
May Star Corner,Jl. Pluit Selatan Raya Lt.4 No. 4,PT. Station Sejahtera,Halim Juhanim,Jakarta Utara,021 6666840,,Restoran,10/20/C
Mc Donalds,Jl. Boulevard Artha Gading Blok D Kav. No. 1,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Utara,021 5260606,021 5266384,Restoran,50/200/A
Mc Donalds,Jl. Sunter Agung Timur IV Blok 02 No. 1,PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Utara,,,Restoran,30/100/A
Mc Donalds,"Graha Rekso Bld Centra Bisnis Artha Gading, Jl. Boulevard Artha Gading",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Utara,,,Restoran,20/80/A
Mc Donald's,"Pluit Village, Jl. Pluit Indah",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Utara,021 6670415,021 6670415,Restoran,20/120/A
Mc Donald's,"Ramashinta Dufan, Jl. Lodan Timur No. 7",PT. Rekso Nasional Food,Sukowati Sasrodjojo,Jakarta Utara,021 6450733,021 6450733,Restoran,29/100/A
Mc Donald's,"Ancol Pantai Timur, Jl. Lodan No. 7",PT. Rekso Nasional Food,Sukowati Sosrodjojo,Jakarta Utara,021 6455034,021 6455034,Restoran,20/80/A
Medan Baru,"Jl. Griya Agung No. 62, Sunter",,Ibrahim,Jakarta Utara,021 6409683,,Restoran,20/80/A
Men -Oh Hakata,Jl. Raya Boulevard Blok TN 2/38,PT. Raja Mie Hakata,Hariman Widjaja,Jakarta Utara,021 7970060,021 7970060,Restoran,15/60/A
Michuholl,Jl. Danau Permai Raya Blok C1,PT. MITRACHU HOLIDAY,"Basuki Agus Widodo, SE",Jakarta Utara,021 65831472,,Restoran,10/40/B
Midori,Komp. Gading Bukit Indah Blok F 11,,Ir. Hariono,Jakarta Utara,021 4513920,,Restoran,10/40/B
Mimoosa,Jl. Gading Kirana Raya Blok A.13/33,Olivia Chen,Olivia Chen,Jakarta Utara,,,Restoran,10/40/B
