nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Café & Resto Pisa Puri,Ruko Puri Kencana Blok L6 No. 88,PT. Agung Bestfood Raya,Gunardi Taniwan,Jakarta Barat,021 58302666,021 5828999,Restoran,10/50/B
Café De Waraku,Jl. Letjen. S.Parman Kav. 21,Petty Suwito,Petty Suwito,Jakarta Barat,,,Restoran,10/50/B
Café De Waraku,Jl. Letjen.S.Parman Kav. 21,Petty Suwito,Petty Suwito,Jakarta Barat,,,Restoran,10/50/B
Cahaya Baru,"Jl. Tiang Bendera II / 84, Roa Malaka",Hengky Dompas,Hengky Dompas,Jakarta Barat,021 6900766,021 6900766,Restoran,24/140/A
Cahaya Baru,Jl. Tiang Bendera II No. 84,CV. Cahaya Baru,Hengky Dompas,Jakarta Barat,021 6900766,021 6930705,Restoran,24/140/A
California Pizza Kitchen,"PX Pavilion @ The St. Moritz, Jl. Puri Indah Raya",PT. Panca Pilar Kencana,Roni Prananto,Jakarta Barat,,,Restoran,34/116/A
Canton Bay,Jl. Jend. S. Parman,PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Barat,021 5639128,021 5639128,Restoran,25/110/A
Canton Bay,Jl. Puri Agung,PT. Panca Mitrasari Lestari,Sumarno Ngadiman,Jakarta Barat,,,Restoran,10/50/B
Carl's Jr,"Central Park, Jl. Letjen. S. Parman Kav. 28",PT. Generasi Mutiara Bangsa,Irza Hanafiah Pulungan,Jakarta Barat,021 29200090,021 29200091,Restoran,14/50/B
Carming,Komplek Green Garden Blok Y 3/64,,Herry Kartio,Jakarta Barat,021 5502721,,Restoran,8/40/B
Causeway Bay Hk Resto,Jl. Gajah Mada No. 174,PT. Causeway Bay Resto,Lam Saila Angela,Jakarta Barat,021 6319333,021 6683711,Restoran,8/58/A
Celio Cafe,"Perkantoran Kencana, Taman Aries Blok D1/3 U-CD ",PT. Inspirasindo,Melanie Mokoagow,Jakarta Barat,021 5857382,021 5857376,Restoran,12/50/B
Cempaka,Perum Citra 2 Ext Blok BG-3B No.31,PT.Mulia Agung Abadi,I Ketut Sumerta Wijaya,Jakarta Barat,021 54377449,,Restoran,10/40/B
Cendana,Jl. Raya Pos Pengumben No. 11,Drs.Syed Abubakar,Drs.Syed Abubakar,Jakarta Barat,021 5840670,021 5840670,Restoran,10/50/B
Cendana,Jl. Raya Pos Pengumben No. 11,Drs.Syed Abubakar,Drs.Syed Abubakar,Jakarta Barat,021 5840670,021 5840670,Restoran,10/50/B
Central,Jl. Latumeten No. 33,PT. Central Sukses Bersama,Alex,Jakarta Barat,021 29071333,021 29071355,Restoran,35/300/A
Cfc,Jl. Aipda KS. Tubun No. 92 - 94,PT. Pioneerindo Gourmet International,Kusuwandi Tamin,Jakarta Barat,,,Restoran,25/100/A
Cfc,"Plaza Slipi Jaya, Jl. Letjen S. Parman Kav. 17-18",PT. Pioneerindo Gourmet Intl,Kusuwandi Tamin,Jakarta Barat,021 5250275,,Restoran,51/102/A
Chatterbox Cafe,"The Foodhall, Jl. Perjuangan Raya Kedoya",PT. Sari Boga Lestari,Susan Logawa,Jakarta Barat,021 5722048,021 5722045,Restoran,25/80/A
Chatterbox Café,"Central Park, Jl. Tanjung Duren Raya",PT. Sari Boga Lestari,Indrawan Widjaja,Jakarta Barat,021 5722048,021 5722045,Restoran,60/180/A
Cheese Cake Factory,Jl. Tomang Raya No. 41,PT. Desserta Factori Gelato,De Selva U Chandra Sri Lal,Jakarta Barat,,,Restoran,20/80/A
Chef Yang,"Jl. Kintamani Raya, Jl. Tanah Lot",PT. Abdi Manunggal,Fabian,Jakarta Barat,,,Restoran,15/50/B
Chefs Table,"Mall Puri Indah, Jl. Puri Agung Raya",PT. Dhana Makmur Cemerlang,DENDY SJAHADA H,Jakarta Barat,,,Restoran,15/60/A
Chicken Story,"Mal Ciputra, Jl. Letjend. S. Parman",PT. Prime Restaurant Indonesia,Harry Sanusi,Jakarta Barat,,,Restoran,20/40/B
Chinese Food,St. Moritz Mall Lantai 2 No. 50 RT002/RW002,PT. Nihao Jaya Makmur,Herry Sugandhi,Jakarta Barat,,,Restoran,12/72/A
City Extra,Jl. Tanjung Duren Raya No. 1G RT003/RW005,PT. Tritunggal Jaya Cemerlang,Janto,Jakarta Barat,,,Restoran,10/50/B
City Hall Kedai Kopi,Jl. Hayam Wuruk No. 72,PT. City Selera Indo,Ahmad Suseno,Jakarta Barat,,,Restoran,14/50/B
Clover Palace,Jl. Letjen. S.Parman Kav. 28,PT. Deca Mandiri,Mahdiana,Jakarta Barat,021 56985318,021 56985318,Restoran,15/60/A
Club 36,Jl. Hayam Wuruk No. 126,PT. Paramita Inti Utama,Boyke Jatikusuma,Jakarta Barat,021 6269666,021 6267666,Restoran,20/80/A
Club Nebula,"Central Park Mall Lt. 8 Lot 3A, Jl. Letjend S. Parman",PT. Nebula Interten,Irwan Gunawan Lie,Jakarta Barat,,,Restoran,25/65/A
